timestamps,open,high,low,close,volume,amount
2025-01-20 23:55:00,2710.28500,2710.96100,2710.23500,2710.44500,295,0
2025-01-21 00:00:00,2710.43300,2710.59700,2710.03700,2710.24100,249,0
2025-01-21 00:05:00,2710.21900,2711.49200,2710.01100,2710.89300,312,0
2025-01-21 00:10:00,2710.87500,2711.58500,2710.41700,2711.16800,314,0
2025-01-21 00:15:00,2711.14000,2711.14000,2709.97500,2709.98800,321,0
2025-01-21 00:20:00,2709.97300,2710.75700,2709.58300,2709.89400,392,0
2025-01-21 00:25:00,2709.88300,2710.15500,2709.44800,2709.86300,260,0
2025-01-21 00:30:00,2709.88600,2711.11600,2709.85200,2710.51900,317,0
2025-01-21 00:35:00,2710.49900,2710.49900,2709.72400,2710.10500,281,0
2025-01-21 00:40:00,2710.09000,2710.24300,2708.74600,2709.81000,386,0
2025-01-21 00:45:00,2709.80000,2710.53800,2708.40800,2708.84800,359,0
2025-01-21 00:50:00,2708.81800,2708.81800,2702.80500,2704.18800,1879,0
2025-01-21 00:55:00,2704.22200,2705.58100,2702.88600,2705.36600,1357,0
2025-01-21 01:00:00,2705.38800,2707.21700,2703.15300,2706.18200,1937,0
2025-01-21 01:05:00,2706.17200,2708.67200,2706.12400,2706.44100,1680,0
2025-01-21 01:10:00,2706.47000,2710.99600,2706.46600,2710.61400,1505,0
2025-01-21 01:15:00,2710.63900,2711.22900,2708.71100,2708.76600,1324,0
2025-01-21 01:20:00,2708.73900,2710.81900,2708.59000,2710.59300,1039,0
2025-01-21 01:25:00,2710.62100,2713.58400,2709.86600,2712.32200,1119,0
2025-01-21 01:30:00,2712.33100,2712.94900,2711.55500,2711.90700,704,0
2025-01-21 01:35:00,2711.87200,2712.96600,2711.31400,2712.61800,750,0
2025-01-21 01:40:00,2712.64000,2716.22300,2712.62000,2715.94800,644,0
2025-01-21 01:45:00,2715.96100,2716.73000,2714.35800,2715.50600,766,0
2025-01-21 01:50:00,2715.51300,2716.63400,2714.94100,2716.63400,569,0
2025-01-21 01:55:00,2716.66700,2719.28100,2716.47800,2718.10500,642,0
2025-01-21 02:00:00,2718.08400,2719.96800,2717.93800,2719.77300,562,0
2025-01-21 02:05:00,2719.78200,2721.27300,2719.35600,2721.16700,849,0
2025-01-21 02:10:00,2721.16900,2722.47700,2720.31300,2720.72300,697,0
2025-01-21 02:15:00,2720.67200,2720.94200,2718.77200,2720.70500,707,0
2025-01-21 02:20:00,2720.72000,2721.56500,2720.02400,2721.56500,547,0
2025-01-21 02:25:00,2721.53200,2722.19600,2720.97000,2721.44400,510,0
2025-01-21 02:30:00,2721.47500,2723.17100,2721.06900,2722.59700,881,0
2025-01-21 02:35:00,2722.59600,2725.48500,2722.07000,2724.45900,712,0
2025-01-21 02:40:00,2724.48500,2725.70000,2724.44600,2725.41000,647,0
2025-01-21 02:45:00,2725.41200,2725.74600,2723.50100,2723.50800,528,0
2025-01-21 02:50:00,2723.50400,2723.94100,2722.97900,2723.42900,495,0
2025-01-21 02:55:00,2723.42700,2724.86300,2723.12300,2724.84300,604,0
2025-01-21 03:00:00,2724.81900,2726.26000,2723.81500,2723.81500,1234,0
2025-01-21 03:05:00,2723.79800,2723.79800,2721.24400,2721.65000,539,0
2025-01-21 03:10:00,2721.65200,2723.30000,2721.65200,2723.05400,583,0
2025-01-21 03:15:00,2723.04300,2724.64900,2722.91500,2724.16700,701,0
2025-01-21 03:20:00,2724.15800,2726.94600,2724.02600,2725.83900,950,0
2025-01-21 03:25:00,2725.85400,2726.41300,2723.92900,2724.34400,517,0
2025-01-21 03:30:00,2724.32700,2725.16900,2723.96800,2724.58900,568,0
2025-01-21 03:35:00,2724.58600,2724.96300,2723.12700,2723.24300,370,0
2025-01-21 03:40:00,2723.25000,2723.90600,2722.88000,2722.91700,398,0
2025-01-21 03:45:00,2722.88300,2723.94200,2722.68900,2723.24200,389,0
2025-01-21 03:50:00,2723.25600,2724.50200,2722.99100,2723.86700,379,0
2025-01-21 03:55:00,2723.89600,2724.65000,2723.89600,2724.19600,278,0
2025-01-21 04:00:00,2724.22100,2724.83000,2723.90700,2724.32900,288,0
2025-01-21 04:05:00,2724.32200,2724.61000,2723.09500,2723.25400,330,0
2025-01-21 04:10:00,2723.25700,2725.46300,2723.20700,2724.89200,313,0
2025-01-21 04:15:00,2724.88900,2726.83000,2724.27400,2725.16700,510,0
2025-01-21 04:20:00,2725.17500,2725.90100,2724.77000,2725.82300,313,0
2025-01-21 04:25:00,2725.81600,2726.91100,2725.44900,2726.91100,410,0
2025-01-21 04:30:00,2726.83900,2727.10900,2725.79900,2725.85200,466,0
2025-01-21 04:35:00,2725.84900,2726.83500,2724.91900,2726.28500,582,0
2025-01-21 04:40:00,2726.27300,2726.27300,2723.40100,2725.29000,788,0
2025-01-21 04:45:00,2725.33600,2726.96900,2725.17400,2726.76800,342,0
