ticket,direction,open_time,close_time,entry,orig_sl,orig_tp,orig_close,orig_net,orig_exit,sl5_origtp_net,sl5_origtp_exit,sl5_origtp_delta,sl5_tp20_net,sl5_tp20_exit,sl5_tp20_delta,sl5_ladder_tp_pts,sl5_ladder_net,sl5_ladder_delta,suggested_sl,suggested_tp
81107344,buy,2026.05.22 12:23:18,2026.05.22 13:41:32,4518.76,4514.0,,4513.36,-5.58,sl,-5.18,sl,0.40000000000000036,-5.18,sl,0.40000000000000036,20.0,-5.18,0.40000000000000036,4513.76,4538.76
81107335,buy,2026.05.22 12:23:12,2026.05.22 13:41:32,4518.91,4514.0,4539.0,4513.36,-5.7299999999999995,sl,-5.18,sl,0.5499999999999998,-5.18,sl,0.5499999999999998,10.0,9.82,15.55,4513.91,4538.91
81077078,buy,2026.05.22 06:54:13,2026.05.22 08:57:10,4527.44,4515.0,4740.0,4514.78,-12.84,sl,-5.18,sl,7.66,-5.18,sl,7.66,10.0,-5.18,7.66,4522.44,4547.44
81077069,buy,2026.05.22 06:54:10,2026.05.22 08:57:10,4527.4,4515.0,4550.0,4514.78,-12.799999999999999,sl,-5.18,sl,7.619999999999999,-5.18,sl,7.619999999999999,20.0,-5.18,7.619999999999999,4522.4,4547.4
80917655,buy,2026.05.22 02:36:17,2026.05.22 03:00:35,4536.01,4532.0,,4531.86,-4.33,sl,-5.18,sl,-0.8499999999999996,-5.18,sl,-0.8499999999999996,10.0,-5.18,-0.8499999999999996,4531.01,4556.01
80917620,buy,2026.05.22 02:31:33,2026.05.22 03:00:35,4537.0,4532.0,4574.0,4531.86,-5.319999999999999,sl,-5.18,sl,0.13999999999999968,-5.18,sl,0.13999999999999968,20.0,-5.18,0.13999999999999968,4532.0,4557.0
80917563,buy,2026.05.22 02:31:24,2026.05.22 03:00:35,4538.0,4532.0,4548.0,4531.86,-6.319999999999999,sl,-5.18,sl,1.1399999999999997,-5.18,sl,1.1399999999999997,10.0,-5.18,1.1399999999999997,4533.0,4558.0
81038366,sell,2026.05.21 20:11:00,2026.05.21 20:15:57,4529.0,4534.0,4499.0,4534.34,-5.52,sl,-5.18,sl,0.33999999999999986,-5.18,sl,0.33999999999999986,10.0,-5.18,0.33999999999999986,4534.0,4509.0
81038421,sell,2026.05.21 20:11:00,2026.05.21 20:15:57,4529.8,4534.0,4477.0,4534.34,-4.72,sl,-5.18,sl,-0.45999999999999996,-5.18,sl,-0.45999999999999996,20.0,-5.18,-0.45999999999999996,4534.8,4509.8
81037501,sell,2026.05.21 20:10:56,2026.05.21 20:15:57,4528.0,4534.0,4518.0,4534.34,-6.52,sl,-5.18,sl,1.3399999999999999,-5.18,sl,1.3399999999999999,10.0,-5.18,1.3399999999999999,4533.0,4508.0
