ticket,source,direction,open_time,entry,tp_pts_used,orig_net,latest_net,latest_exit,delta,orig_exit,limit_offset,filled
81107344,market,buy,2026.05.22 12:23:18,4518.76,20.0,-5.58,-5.18,sl,0.40000000000000036,sl,,
81107335,market,buy,2026.05.22 12:23:12,4518.91,10.0,-5.7299999999999995,9.82,tp,15.55,sl,,
81077078,market,buy,2026.05.22 06:54:13,4527.44,10.0,-12.84,-5.18,sl,7.66,sl,,
81077069,market,buy,2026.05.22 06:54:10,4527.4,20.0,-12.799999999999999,-5.18,sl,7.619999999999999,sl,,
80917655,market,buy,2026.05.22 02:36:17,4536.01,10.0,-4.33,-5.18,sl,-0.8499999999999996,sl,,
80917620,market,buy,2026.05.22 02:31:33,4537.0,20.0,-5.319999999999999,-5.18,sl,0.13999999999999968,sl,,
80917563,market,buy,2026.05.22 02:31:24,4538.0,10.0,-6.319999999999999,-5.18,sl,1.1399999999999997,sl,,
81038366,market,sell,2026.05.21 20:11:00,4529.0,10.0,-5.52,-5.18,sl,0.33999999999999986,sl,,
81038421,market,sell,2026.05.21 20:11:00,4529.8,20.0,-4.72,-5.18,sl,-0.45999999999999996,sl,,
81037501,market,sell,2026.05.21 20:10:56,4528.0,10.0,-6.52,-5.18,sl,1.3399999999999999,sl,,
80896756,market,sell,2026.05.20 18:15:50,4546.5,30.0,-4.3,-4.299999999999891,time,1.092459456231154e-13,sl,,
80896741,market,sell,2026.05.20 18:15:47,4545.24,20.0,-5.56,-5.560000000000109,time,-1.092459456231154e-13,sl,,
80896706,market,sell,2026.05.20 18:15:46,4544.49,10.0,-6.31,-6.310000000000109,time,-1.092459456231154e-13,sl,,
80844136,market,sell,2026.05.20 17:31:13,4522.0,10.0,-4.3999999999999995,-5.18,sl,-0.7800000000000002,sl,,
80844063,market,sell,2026.05.20 17:30:57,4521.0,30.0,-5.3999999999999995,-5.18,sl,0.21999999999999975,sl,,
80844036,market,sell,2026.05.20 17:30:55,4520.0,30.0,-6.3999999999999995,-5.18,sl,1.2199999999999998,sl,,
80767140,market,sell,2026.05.20 17:30:46,4518.85,30.0,-5.13,-5.18,sl,-0.04999999999999982,sl,,
80767096,market,sell,2026.05.20 17:30:46,4518.0,20.0,-5.9799999999999995,-5.18,sl,0.7999999999999998,sl,,
80766987,market,sell,2026.05.20 17:30:45,4517.0,10.0,-6.9799999999999995,-5.18,sl,1.7999999999999998,sl,,
80783657,market,sell,2026.05.20 03:30:02,4503.0,10.0,-4.56,-4.560000000000109,time,-1.092459456231154e-13,sl,,
80783643,market,sell,2026.05.20 03:29:59,4501.92,20.0,-5.64,-5.18,sl,0.45999999999999996,sl,,
80783633,market,sell,2026.05.20 03:29:56,4501.0,10.0,-6.56,-5.18,sl,1.38,sl,,
80736276,market,buy,2026.05.19 16:24:42,4505.06,10.0,-4.37,-5.18,sl,-0.8099999999999996,sl,,
80736188,market,buy,2026.05.19 16:23:42,4506.1,20.0,-5.41,-5.18,sl,0.23000000000000043,sl,,
80736078,market,buy,2026.05.19 16:23:35,4507.0,10.0,-6.31,-5.18,sl,1.13,sl,,
80513036,market,sell,2026.05.18 16:33:35,4578.7,20.0,-4.319999999999999,-5.18,sl,-0.8600000000000003,sl,,
80513018,market,sell,2026.05.18 16:33:32,4577.7,10.0,-5.319999999999999,9.82,tp,15.14,sl,,
80512984,market,sell,2026.05.18 16:01:10,4576.52,10.0,-6.5,9.82,tp,16.32,sl,,
80513799,market,buy,2026.05.18 03:34:24,4491.0,30.0,-4.47,-5.18,sl,-0.71,sl,,
80513663,market,buy,2026.05.18 03:34:12,4496.0,30.0,-4.739999999999999,-5.18,sl,-0.4400000000000004,sl,,
80513605,market,buy,2026.05.18 03:34:12,4497.0,20.0,-5.739999999999999,-5.18,sl,0.5599999999999996,sl,,
80513742,market,buy,2026.05.18 03:34:12,4493.0,30.0,-6.47,-5.18,sl,1.29,sl,,
80513770,market,buy,2026.05.18 03:34:12,4492.0,30.0,-5.47,-5.18,sl,0.29000000000000004,sl,,
80513584,market,buy,2026.05.18 03:34:01,4498.0,10.0,-6.21,-5.18,sl,1.0300000000000002,sl,,
80468801,market,buy,2026.05.15 16:45:17,4516.2,30.0,-4.81,-4.810000000000109,time,-1.092459456231154e-13,sl,,
80468669,market,buy,2026.05.15 16:45:14,4518.2,10.0,-6.81,9.82,tp,16.63,sl,,
80468761,market,buy,2026.05.15 16:45:14,4517.26,20.0,-5.87,-5.870000000000509,time,-5.089262344881718e-13,sl,,
