ticket,direction,entry,new_sl,tp,exit_px,exit_reason,exit_dt,sim_profit,sim_net,orig_profit,orig_net,delta,orig_exit
81107344,buy,4518.76,4511.76,,4511.76,sl,2026-05-22 13:40:00,-7.0,-7.18,-5.4,-5.58,-1.5999999999999996,sl
81107335,buy,4518.91,4511.91,4539.0,4511.91,sl,2026-05-22 13:40:00,-7.0,-7.18,-5.55,-5.7299999999999995,-1.4500000000000002,sl
81077078,buy,4527.44,4520.44,4740.0,4520.44,sl,2026-05-22 07:35:00,-7.0,-7.18,-12.66,-12.84,5.66,sl
81077069,buy,4527.4,4520.4,4550.0,4520.4,sl,2026-05-22 07:35:00,-7.0,-7.18,-12.62,-12.799999999999999,5.619999999999999,sl
80917655,buy,4536.01,4529.01,,4529.01,sl,2026-05-22 02:40:00,-7.0,-7.18,-4.15,-4.33,-2.8499999999999996,sl
80917620,buy,4537.0,4530.0,4574.0,4530.0,sl,2026-05-22 02:35:00,-7.0,-7.18,-5.14,-5.319999999999999,-1.8600000000000003,sl
80917563,buy,4538.0,4531.0,4548.0,4531.0,sl,2026-05-22 02:35:00,-7.0,-7.18,-6.14,-6.319999999999999,-0.8600000000000003,sl
81038366,sell,4529.0,4536.0,4499.0,4536.0,sl,2026-05-21 20:15:00,-7.0,-7.18,-5.34,-5.52,-1.6600000000000001,sl
81038421,sell,4529.8,4536.8,4477.0,4536.8,sl,2026-05-21 20:15:00,-7.0,-7.18,-4.54,-4.72,-2.46,sl
81037501,sell,4528.0,4535.0,4518.0,4535.0,sl,2026-05-21 20:15:00,-7.0,-7.18,-6.34,-6.52,-0.6600000000000001,sl
80896756,sell,4546.5,4553.5,4400.0,4550.62,time,2026-05-20 18:16:03,-4.119999999999891,-4.299999999999891,-4.12,-4.3,1.092459456231154e-13,sl
80896741,sell,4545.24,4552.24,4516.0,4550.62,time,2026-05-20 18:16:03,-5.380000000000109,-5.560000000000109,-5.38,-5.56,-1.092459456231154e-13,sl
80896706,sell,4544.49,4551.49,4535.0,4535.0,tp,2026-05-20 18:20:00,9.489999999999782,9.309999999999782,-6.13,-6.31,15.61999999999978,sl
80844136,sell,4522.0,4529.0,4400.0,4529.0,sl,2026-05-20 17:35:00,-7.0,-7.18,-4.22,-4.3999999999999995,-2.7800000000000002,sl
80844063,sell,4521.0,4528.0,4453.0,4528.0,sl,2026-05-20 17:35:00,-7.0,-7.18,-5.22,-5.3999999999999995,-1.7800000000000002,sl
80844036,sell,4520.0,4527.0,4510.0,4527.0,sl,2026-05-20 17:35:00,-7.0,-7.18,-6.22,-6.3999999999999995,-0.7800000000000002,sl
80767140,sell,4518.85,4525.85,4400.0,4525.85,sl,2026-05-20 17:35:00,-7.0,-7.18,-4.95,-5.13,-2.05,sl
80767096,sell,4518.0,4525.0,4468.0,4525.0,sl,2026-05-20 17:35:00,-7.0,-7.18,-5.8,-5.9799999999999995,-1.2000000000000002,sl
80766987,sell,4517.0,4524.0,4507.0,4524.0,sl,2026-05-20 17:35:00,-7.0,-7.18,-6.8,-6.9799999999999995,-0.20000000000000018,sl
80783657,sell,4503.0,4510.0,4400.0,4507.38,time,2026-05-20 03:30:58,-4.380000000000109,-4.560000000000109,-4.38,-4.56,-1.092459456231154e-13,sl
80783643,sell,4501.92,4508.92,4465.0,4465.0,tp,2026-05-20 03:30:00,36.92000000000007,36.74000000000007,-5.46,-5.64,42.380000000000074,sl
80783633,sell,4501.0,4508.0,4491.0,4491.0,tp,2026-05-20 03:30:00,10.0,9.82,-6.38,-6.56,16.38,sl
80736276,buy,4505.06,4498.06,4566.0,4500.87,time,2026-05-19 16:26:17,-4.190000000000509,-4.370000000000509,-4.19,-4.37,-5.089262344881718e-13,sl
80736188,buy,4506.1,4499.1,4536.0,4500.87,time,2026-05-19 16:26:17,-5.230000000000473,-5.410000000000473,-5.23,-5.41,-4.725109192804666e-13,sl
80736078,buy,4507.0,4500.0,4517.0,4500.87,time,2026-05-19 16:26:17,-6.130000000000109,-6.310000000000109,-6.13,-6.31,-1.092459456231154e-13,sl
80513036,sell,4578.7,4585.7,4563.0,4563.0,tp,2026-05-18 16:35:00,15.699999999999818,15.519999999999818,-4.14,-4.319999999999999,19.83999999999982,sl
80513018,sell,4577.7,4584.7,4530.0,4582.84,time,2026-05-18 16:54:37,-5.140000000000327,-5.320000000000327,-5.14,-5.319999999999999,-3.277378368693462e-13,sl
80512984,sell,4576.52,4583.52,4400.0,4582.84,time,2026-05-18 16:54:37,-6.319999999999709,-6.499999999999709,-6.32,-6.5,2.913225216616411e-13,sl
80513799,buy,4491.0,4484.0,4552.0,4486.71,time,2026-05-18 03:40:20,-4.289999999999964,-4.469999999999963,-4.29,-4.47,3.6415315207705135e-14,sl
80513663,buy,4496.0,4489.0,,4491.44,time,2026-05-18 03:34:12,-4.5600000000004,-4.7400000000004,-4.56,-4.739999999999999,-4.005684672847565e-13,sl
80513605,buy,4497.0,4490.0,4527.0,4527.0,tp,2026-05-18 03:35:00,30.0,29.82,-5.56,-5.739999999999999,35.56,sl
80513742,buy,4493.0,4486.0,4508.0,4508.0,tp,2026-05-18 03:35:00,15.0,14.82,-6.29,-6.47,21.29,sl
80513770,buy,4492.0,4485.0,4522.0,4522.0,tp,2026-05-18 03:35:00,30.0,29.82,-5.29,-5.47,35.29,sl
80513584,buy,4498.0,4491.0,4513.0,4513.0,tp,2026-05-18 03:35:00,15.0,14.82,-6.03,-6.21,21.03,sl
80468801,buy,4516.2,4509.2,4585.0,4511.57,time,2026-05-15 16:45:47,-4.630000000000109,-4.810000000000109,-4.63,-4.81,-1.092459456231154e-13,sl
80468669,buy,4518.2,4511.2,4529.0,4529.0,tp,2026-05-15 16:50:00,10.800000000000182,10.620000000000182,-6.63,-6.81,17.43000000000018,sl
80468761,buy,4517.26,4510.26,4543.0,4543.0,tp,2026-05-15 16:50:00,25.73999999999978,25.559999999999782,-5.69,-5.87,31.429999999999783,sl
80448388,sell,4572.0,4579.0,4557.0,4557.0,tp,2026-05-15 13:55:00,15.0,14.82,15.0,14.82,0.0,tp
80421906,buy,4548.31,4541.31,4598.0,4543.39,time,2026-05-15 12:15:59,-4.920000000000073,-5.1000000000000725,-4.92,-5.1,-7.283063041541027e-14,sl
80421870,buy,4549.0,4542.0,4579.0,4543.39,time,2026-05-15 12:15:59,-5.609999999999673,-5.789999999999672,-5.61,-5.79,3.277378368693462e-13,sl
80421844,buy,4550.03,4543.03,4563.0,4543.39,time,2026-05-15 12:15:59,-6.639999999999418,-6.819999999999418,-6.64,-6.819999999999999,5.81756864903582e-13,sl
80418578,sell,4586.5,4593.5,4506.0,4506.0,tp,2026-05-18 00:30:00,80.5,80.55999999999999,80.65,80.71,-0.15000000000000568,tp
80418545,sell,4585.48,4592.48,4566.0,4566.0,tp,2026-05-15 10:15:00,19.479999999999563,19.299999999999564,19.48,19.3,-4.369837824924616e-13,tp
80418520,sell,4584.5,4591.5,4571.0,4571.0,tp,2026-05-15 10:15:00,13.5,13.32,12.88,12.700000000000001,0.6199999999999992,other
80245151,buy,4604.7,4597.7,4830.0,4597.7,sl,2026-05-15 07:45:00,-7.0,-7.18,-4.18,-4.359999999999999,-2.8200000000000003,sl
80245141,buy,4605.7,4598.7,4640.0,4598.7,sl,2026-05-15 07:45:00,-7.0,-7.18,-5.18,-5.359999999999999,-1.8200000000000003,sl
80245114,buy,4606.7,4599.7,4621.0,4599.7,sl,2026-05-15 07:45:00,-7.0,-7.18,-6.18,-6.359999999999999,-0.8200000000000003,sl
79876179,buy,4618.7,4611.7,4830.0,4614.62,time,2026-05-15 03:41:44,-4.079999999999927,-4.259999999999927,-4.08,-4.26,7.283063041541027e-14,sl
79876120,buy,4619.7,4612.7,4650.0,4612.7,sl,2026-05-15 03:45:00,-7.0,-7.18,-5.08,-5.26,-1.92,sl
79876063,buy,4620.97,4613.97,4635.0,4613.97,sl,2026-05-15 03:40:00,-7.0,-7.18,-6.35,-6.529999999999999,-0.6500000000000004,sl
80324218,buy,4660.7,4653.7,4690.0,4655.7,time,2026-05-14 22:44:04,-5.0,-5.18,-5.0,-5.18,0.0,sl
80324238,buy,4659.7,4652.7,4830.0,4655.7,time,2026-05-14 22:44:04,-4.0,-4.18,-4.0,-4.18,0.0,sl
80324165,buy,4661.7,4654.7,4676.0,4655.7,time,2026-05-14 22:44:04,-6.0,-6.18,-6.0,-6.18,0.0,sl
80301887,buy,4677.75,4670.75,4830.0,4673.49,time,2026-05-14 16:41:38,-4.260000000000218,-4.440000000000218,-4.26,-4.4399999999999995,-2.184918912462308e-13,sl
80301856,buy,4678.74,4671.74,4708.0,4673.49,time,2026-05-14 16:41:38,-5.25,-5.43,-5.25,-5.43,0.0,sl
80301823,buy,4679.7,4672.7,4694.5,4672.7,sl,2026-05-14 16:45:00,-7.0,-7.18,-6.21,-6.39,-0.79,sl
80244860,sell,4718.5,4725.5,4625.0,4625.0,tp,2026-05-15 00:30:00,93.5,93.55999999999999,93.65,93.71,-0.15000000000000568,tp
80244845,sell,4717.48,4724.48,4687.0,4687.0,tp,2026-05-14 13:30:00,30.479999999999563,30.299999999999564,30.63,30.45,-0.15000000000043556,tp
80244821,sell,4716.49,4723.49,4701.0,4701.0,tp,2026-05-14 10:40:00,15.489999999999782,15.309999999999782,15.54,15.36,-0.050000000000217426,tp
80211882,sell,4709.5,4716.5,4670.0,4670.0,tp,2026-05-14 04:00:00,39.5,40.03,39.65,40.18,-0.14999999999999858,tp
80211825,sell,4708.5,4715.5,4694.0,4694.0,tp,2026-05-13 19:25:00,14.5,14.32,14.65,14.47,-0.15000000000000036,tp
80181909,buy,4682.0,4675.0,4720.0,4676.9,time,2026-05-13 15:32:39,-5.100000000000364,-5.2800000000003635,-5.1,-5.279999999999999,-3.6415315207705135e-13,sl
80181933,buy,4681.0,4674.0,4770.0,4676.9,time,2026-05-13 15:32:39,-4.100000000000364,-4.2800000000003635,-4.1,-4.279999999999999,-3.6415315207705135e-13,sl
80181890,buy,4683.0,4676.0,4698.0,4698.0,tp,2026-05-13 15:35:00,15.0,14.82,-6.1,-6.279999999999999,21.1,sl
80165911,sell,4713.46,4720.46,4698.0,4698.0,tp,2026-05-13 09:20:00,15.460000000000036,15.280000000000037,0.78,0.6000000000000001,14.680000000000037,other
80125574,sell,4685.0,4692.0,4630.0,4689.05,time,2026-05-12 21:32:30,-4.050000000000182,-4.230000000000182,-4.05,-4.2299999999999995,-1.8207657603852567e-13,sl
80125565,sell,4684.0,4691.0,4625.0,4689.05,time,2026-05-12 21:32:30,-5.050000000000182,-5.230000000000182,-5.05,-5.2299999999999995,-1.8207657603852567e-13,sl
80125540,sell,4683.0,4690.0,4659.0,4689.05,time,2026-05-12 21:32:30,-6.050000000000182,-6.230000000000182,-6.05,-6.2299999999999995,-1.8207657603852567e-13,sl
80094932,buy,4663.0,4656.0,4800.0,4657.98,time,2026-05-12 18:21:15,-5.020000000000437,-5.200000000000436,-5.02,-5.199999999999999,-4.369837824924616e-13,sl
80094836,buy,4666.0,4659.0,4720.0,4657.98,time,2026-05-12 18:21:15,-8.020000000000437,-8.200000000000436,-8.02,-8.2,-4.369837824924616e-13,sl
80094735,buy,4669.0,4662.0,4689.0,4657.98,time,2026-05-12 18:21:15,-11.020000000000437,-11.200000000000436,-11.02,-11.2,-4.369837824924616e-13,sl
79992888,buy,4681.14,4674.14,4696.3,4674.14,sl,2026-05-12 16:20:00,-7.0,-7.18,15.16,14.98,-22.16,tp
79992862,buy,4682.0,4675.0,4753.0,4675.0,sl,2026-05-12 16:20:00,-7.0,-7.18,-5.12,-5.3,-1.88,sl
79992845,buy,4683.0,4676.0,4800.0,4676.0,sl,2026-05-12 16:20:00,-7.0,-7.18,-6.12,-6.3,-0.8799999999999999,sl
79976999,buy,4698.0,4691.0,4803.0,4693.73,time,2026-05-12 10:02:40,-4.270000000000437,-4.450000000000436,-4.27,-4.449999999999999,-4.369837824924616e-13,sl
79976928,buy,4699.29,4692.29,4755.0,4693.73,time,2026-05-12 10:02:40,-5.5600000000004,-5.7400000000004,-5.56,-5.739999999999999,-4.005684672847565e-13,sl
79976724,buy,4700.1,4693.1,4717.0,4693.73,time,2026-05-12 10:02:40,-6.3700000000008,-6.5500000000008,-6.37,-6.55,-8.002487561498128e-13,sl
79938994,buy,4652.0,4645.0,4800.0,4692.4,time,2026-05-12 10:03:42,40.399999999999636,39.649999999999636,40.4,39.65,-3.623767952376511e-13,sl
79938972,buy,4653.0,4646.0,4720.0,4720.0,tp,2026-05-11 13:10:00,67.0,66.82,67.15,66.97,-0.15000000000000568,tp
79938952,buy,4654.0,4647.0,4668.0,4668.0,tp,2026-05-11 12:35:00,14.0,13.82,14.02,13.84,-0.019999999999999574,tp
79818306,buy,4652.0,4645.0,4803.0,4648.97,time,2026-05-11 08:55:53,-3.0299999999997453,-3.2099999999997455,-3.03,-3.21,2.544631172440859e-13,sl
79818283,buy,4653.07,4646.07,4722.0,4648.97,time,2026-05-11 08:55:53,-4.099999999999454,-4.279999999999454,-4.1,-4.279999999999999,5.453415496958769e-13,sl
79818244,buy,4654.0,4647.0,4668.0,4668.0,tp,2026-05-11 08:55:00,14.0,13.82,-5.03,-5.21,19.03,sl
79836186,buy,4687.03,4680.03,4711.0,4680.97,time,2026-05-11 01:06:15,-6.059999999999491,-6.23999999999949,-6.06,-6.239999999999999,5.089262344881718e-13,sl
79836288,buy,4685.71,4678.71,,4680.97,time,2026-05-11 01:06:15,-4.739999999999782,-4.919999999999781,-4.74,-4.92,2.184918912462308e-13,sl
79836262,buy,4687.03,4680.03,4790.0,4680.97,time,2026-05-11 01:06:15,-6.059999999999491,-6.23999999999949,-6.06,-6.239999999999999,5.089262344881718e-13,sl
79850592,buy,4705.0,4698.0,,4714.81,time,2026-05-08 23:51:57,9.8100000000004,9.6300000000004,9.81,9.63,3.9968028886505635e-13,other
79850579,buy,4710.0,4703.0,4790.0,4715.45,time,2026-05-08 23:48:51,5.449999999999818,5.269999999999818,5.45,5.2700000000000005,-1.8207657603852567e-13,other
79850557,buy,4715.0,4708.0,4740.0,4715.36,time,2026-05-08 23:49:18,0.3599999999996726,0.1799999999996726,0.36,0.18,-3.2740476996195866e-13,other
79775357,buy,4698.0,4691.0,4731.0,4731.0,tp,2026-05-08 12:50:00,33.0,32.82,33.11,32.93,-0.10999999999999943,tp
79775314,buy,4698.0,4691.0,4713.0,4713.0,tp,2026-05-08 10:30:00,15.0,14.82,15.05,14.870000000000001,-0.05000000000000071,tp
79793300,buy,4716.0,4709.0,4752.0,4712.87,time,2026-05-08 10:17:35,-3.130000000000109,-3.3100000000001093,-3.13,-3.31,-1.092459456231154e-13,sl
79793237,buy,4716.0,4709.0,4737.0,4712.87,time,2026-05-08 10:17:35,-3.130000000000109,-3.3100000000001093,-3.13,-3.31,-1.092459456231154e-13,sl
79688657,buy,4684.8,4677.8,,4715.34,time,2026-05-08 04:18:50,30.539999999999964,30.359999999999964,30.54,30.36,-3.552713678800501e-14,other
79688613,buy,4689.8,4682.8,4905.0,4682.8,sl,2026-05-07 22:45:00,-7.0,-7.75,25.05,24.3,-32.05,other
79688544,buy,4694.8,4687.8,4905.0,4687.8,sl,2026-05-07 20:55:00,-7.0,-8.32,-7.85,-9.17,0.8499999999999996,sl
79679447,buy,4705.0,4698.0,4725.0,4698.0,sl,2026-05-07 19:25:00,-7.0,-7.18,-5.21,-5.39,-1.79,sl
79679467,buy,4705.0,4698.0,4830.0,4698.0,sl,2026-05-07 19:25:00,-7.0,-7.18,-5.21,-5.39,-1.79,sl
79679373,buy,4715.0,4708.0,4735.0,4708.0,sl,2026-05-07 19:15:00,-7.0,-7.18,-5.17,-5.35,-1.83,sl
79679412,buy,4715.0,4708.0,4775.0,4708.0,sl,2026-05-07 19:15:00,-7.0,-7.18,-5.17,-5.35,-1.83,sl
79638002,buy,4687.0,4680.0,4697.0,4697.0,tp,2026-05-07 03:45:00,10.0,9.82,10.05,9.870000000000001,-0.05000000000000071,tp
79638013,buy,4687.0,4680.0,4775.0,4699.79,time,2026-05-07 20:26:43,12.789999999999964,12.609999999999964,12.79,12.61,-3.552713678800501e-14,sl
79583777,buy,4670.5,4663.5,4707.0,4663.48,time,2026-05-06 15:19:00,-7.020000000000437,-7.200000000000436,-7.02,-7.199999999999999,-4.369837824924616e-13,sl
