ticket,type,open_time,close_time,limit_price,market_at_cancel,hold_hours,min_gap_pts,cancel_gap_pts,near_miss_2pt,near_miss_5pt,gap_bucket,m5_touched_orig,fill_off0,net_off0,exit_off0,fill_off1,net_off1,exit_off1,fill_off2,net_off2,exit_off2,fill_off3,net_off3,exit_off3,fill_off5,net_off5,exit_off5,fill_off10,net_off10,exit_off10
81078164,sell limit,2026.05.22 07:21:42,2026.05.22 10:19:17,4555.0,4525.55,2.96,20.73,29.45,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
81078140,sell limit,2026.05.22 07:21:21,2026.05.22 10:19:17,4554.0,4525.54,2.97,19.73,28.46,False,False,10-20,False,False,,,False,,,False,,,False,,,False,,,False,,
81078106,sell limit,2026.05.22 07:20:31,2026.05.22 10:19:18,4553.0,4525.55,2.98,18.73,27.45,False,False,10-20,False,False,,,False,,,False,,,False,,,False,,,False,,
81056154,buy limit,2026.05.22 01:12:28,2026.05.22 07:03:00,4514.0,4529.1,5.84,4.27,15.1,False,True,2-5,False,False,,,False,,,False,,,False,,,True,-5.18,sl,True,-5.18,sl
81056145,buy limit,2026.05.22 01:12:05,2026.05.22 07:02:56,4515.0,4529.27,5.85,3.27,14.27,False,True,2-5,False,False,,,False,,,False,,,False,,,True,-5.18,sl,True,-5.18,sl
81056140,buy limit,2026.05.22 01:11:46,2026.05.22 07:02:53,4516.0,4529.49,5.85,2.27,13.49,False,True,2-5,False,False,,,False,,,False,,,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl
80992262,buy limit,2026.05.21 13:03:39,2026.05.21 16:07:42,4494.0,4509.19,3.07,5.29,15.19,False,False,5-10,False,False,,,False,,,False,,,False,,,False,,,True,-5.18,sl
80992238,buy limit,2026.05.21 13:03:19,2026.05.21 16:07:47,4495.0,4509.1,3.07,4.29,14.1,False,True,2-5,False,False,,,False,,,False,,,False,,,True,-5.18,sl,True,-5.18,sl
80992200,buy limit,2026.05.21 13:02:38,2026.05.21 16:07:50,4496.0,4509.26,3.09,3.29,13.26,False,True,2-5,False,False,,,False,,,False,,,False,,,True,-5.18,sl,True,-5.18,sl
80974256,sell limit,2026.05.21 10:25:29,2026.05.21 19:03:46,4543.0,4515.79,8.64,-0.03,27.21,False,False,touched,True,True,19.82,tp,True,19.82,tp,True,19.82,tp,True,19.82,tp,True,-5.18,sl,True,-5.18,sl
80974202,sell limit,2026.05.21 10:25:14,2026.05.21 19:03:44,4542.0,4515.94,8.64,-1.03,26.06,False,False,touched,True,True,19.82,tp,True,19.82,tp,True,19.82,tp,True,19.82,tp,True,-5.18,sl,True,-5.18,sl
80974029,sell limit,2026.05.21 10:24:55,2026.05.21 19:03:43,4541.0,4515.75,8.65,-2.03,25.25,False,False,touched,True,True,19.82,tp,True,19.82,tp,True,19.82,tp,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl
80900806,buy limit,2026.05.20 18:34:39,2026.05.21 01:09:58,4451.5,4540.75,6.59,72.43,89.25,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80900754,buy limit,2026.05.20 18:34:10,2026.05.21 01:10:01,4450.5,4540.42,6.6,73.43,89.92,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80900676,buy limit,2026.05.20 18:33:17,2026.05.21 01:10:04,4449.5,4539.28,6.61,74.43,89.78,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80899815,sell limit,2026.05.20 18:27:08,2026.05.21 01:09:48,4553.0,4540.91,6.71,2.52,12.09,False,True,2-5,False,False,,,False,,,False,,,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl
80899722,sell limit,2026.05.20 18:26:38,2026.05.21 01:09:51,4554.0,4541.07,6.72,3.52,12.93,False,True,2-5,False,False,,,False,,,False,,,False,,,True,-5.18,sl,True,-5.18,sl
80899445,sell limit,2026.05.20 18:25:17,2026.05.21 01:09:54,4555.0,4540.85,6.74,4.52,14.15,False,True,2-5,False,False,,,False,,,False,,,False,,,True,-5.18,sl,True,-5.18,sl
80873280,buy limit,2026.05.20 16:08:25,2026.05.20 17:16:05,4465.0,4486.04,1.13,2.16,21.04,False,True,2-5,False,False,,,False,,,False,,,True,19.82,tp,True,19.82,tp,True,-5.18,sl
80873249,buy limit,2026.05.20 16:08:09,2026.05.20 17:16:03,4466.0,4485.78,1.13,1.16,19.78,True,True,1-2,False,False,,,False,,,True,19.82,tp,True,19.82,tp,True,19.82,tp,True,-5.18,sl
80873171,buy limit,2026.05.20 16:07:31,2026.05.20 17:16:01,4467.0,4484.66,1.14,0.16,17.66,True,True,0-1,False,False,,,True,19.82,tp,True,19.82,tp,True,19.82,tp,True,19.82,tp,True,-5.18,sl
80749349,sell limit,2026.05.19 16:42:26,2026.05.19 17:17:55,4517.5,4498.63,0.59,3.26,18.87,False,True,2-5,False,False,,,False,,,False,,,False,,,True,19.82,tp,True,-5.18,sl
80749246,sell limit,2026.05.19 16:42:05,2026.05.19 17:17:51,4516.5,4498.76,0.6,2.26,17.74,False,True,2-5,False,False,,,False,,,False,,,True,19.82,tp,True,19.82,tp,True,-5.18,sl
80749150,sell limit,2026.05.19 16:41:46,2026.05.19 17:17:48,4515.5,4498.83,0.6,1.26,16.67,True,True,1-2,False,False,,,False,,,True,19.82,tp,True,19.82,tp,True,19.82,tp,True,-5.18,sl
80735996,sell limit,2026.05.19 15:59:45,2026.05.19 16:37:22,4572.0,4485.23,0.63,30.39,86.77,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80735997,sell limit,2026.05.19 15:59:45,2026.05.19 16:37:22,4573.0,4485.23,0.63,31.39,87.77,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80735853,sell limit,2026.05.19 15:57:42,2026.05.19 16:37:22,4571.0,4485.23,0.66,29.39,85.77,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80721005,sell limit,2026.05.19 13:37:55,2026.05.19 16:37:22,4597.0,4485.23,2.99,49.08,111.77,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80720970,sell limit,2026.05.19 13:37:39,2026.05.19 16:39:55,4596.0,4483.14,3.04,48.08,112.86,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80720962,sell limit,2026.05.19 13:37:13,2026.05.19 16:40:00,4595.0,4483.54,3.05,47.08,111.46,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80720375,sell limit,2026.05.19 13:22:54,2026.05.19 16:01:31,4587.0,4534.55,2.64,39.08,52.45,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80720359,sell limit,2026.05.19 13:22:37,2026.05.19 16:01:19,4586.0,4532.87,2.65,38.08,53.13,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80720351,sell limit,2026.05.19 13:22:17,2026.05.19 16:01:16,4585.0,4532.63,2.65,37.08,52.37,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80667126,sell limit,2026.05.19 05:10:04,2026.05.19 07:12:03,4581.0,4543.25,2.03,18.96,37.75,False,False,10-20,False,False,,,False,,,False,,,False,,,False,,,False,,
80667079,sell limit,2026.05.19 05:09:41,2026.05.19 07:12:05,4580.0,4543.32,2.04,17.96,36.68,False,False,10-20,False,False,,,False,,,False,,,False,,,False,,,False,,
80667003,sell limit,2026.05.19 05:09:20,2026.05.19 07:12:07,4579.0,4543.22,2.05,16.96,35.78,False,False,10-20,False,False,,,False,,,False,,,False,,,False,,,False,,
80615999,buy limit,2026.05.18 16:18:51,2026.05.19 16:12:27,4515.0,4520.87,23.89,-0.29,5.87,False,False,touched,True,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl
80615982,buy limit,2026.05.18 16:18:34,2026.05.19 16:12:03,4514.0,4521.23,23.89,0.71,7.23,True,True,0-1,False,False,,,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl
80615968,buy limit,2026.05.18 16:18:20,2026.05.19 16:11:54,4513.0,4522.13,23.89,1.71,9.13,True,True,1-2,False,False,,,False,,,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl,True,-5.18,sl
80614621,sell limit,2026.05.18 16:04:45,2026.05.19 13:21:39,4597.0,4539.92,21.28,7.61,57.08,False,False,5-10,False,False,,,False,,,False,,,False,,,False,,,True,19.82,tp
80614445,sell limit,2026.05.18 16:03:34,2026.05.19 13:21:34,4596.0,4539.71,21.3,6.61,56.29,False,False,5-10,False,False,,,False,,,False,,,False,,,False,,,True,19.82,tp
80614256,sell limit,2026.05.18 16:02:35,2026.05.19 13:21:32,4595.0,4539.63,21.32,5.61,55.37,False,False,5-10,False,False,,,False,,,False,,,False,,,False,,,True,19.82,tp
80577101,buy limit,2026.05.18 10:09:17,2026.05.18 16:29:23,4501.0,4573.51,6.33,28.78,72.51,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80576994,buy limit,2026.05.18 10:08:45,2026.05.18 16:29:18,4502.0,4573.61,6.34,27.78,71.61,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80576971,buy limit,2026.05.18 10:08:18,2026.05.18 16:29:16,4503.0,4573.58,6.35,26.78,70.58,False,False,>20,False,False,,,False,,,False,,,False,,,False,,,False,,
80576933,sell limit,2026.05.18 10:07:40,2026.05.18 16:27:59,4583.0,4575.34,6.34,2.96,7.66,False,True,2-5,False,False,,,False,,,False,,,False,,,False,,,True,-5.18,sl
80576918,sell limit,2026.05.18 10:07:25,2026.05.18 16:27:56,4582.0,4575.06,6.34,1.96,6.94,True,True,1-2,False,False,,,False,,,False,,,False,,,False,,,True,-5.18,sl
