ticket,direction,entry,sim_net,exit_reason,orig_net,source,open_time,orig_limit_price,limit_offset,filled,fill_time_m5,exit_px,sl_price,tp_price,sl3_at_orig,sl5_at_orig,size,sl_eq_orig_sl3
81107344,buy,4518.76,-5.18,sl,-5.58,market,,,,,,,,,,,,
81107335,buy,4518.91,-5.18,sl,-5.7299999999999995,market,,,,,,,,,,,,
81077078,buy,4527.44,-5.18,sl,-12.84,market,,,,,,,,,,,,
81077069,buy,4527.4,-5.18,sl,-12.799999999999999,market,,,,,,,,,,,,
80917655,buy,4536.01,-5.18,sl,-4.33,market,,,,,,,,,,,,
80917620,buy,4537.0,-5.18,sl,-5.319999999999999,market,,,,,,,,,,,,
80917563,buy,4538.0,-5.18,sl,-6.319999999999999,market,,,,,,,,,,,,
81038366,sell,4529.0,-5.18,sl,-5.52,market,,,,,,,,,,,,
81038421,sell,4529.8,-5.18,sl,-4.72,market,,,,,,,,,,,,
81037501,sell,4528.0,-5.18,sl,-6.52,market,,,,,,,,,,,,
80896756,sell,4546.5,-4.299999999999891,time,-4.3,market,,,,,,,,,,,,
80896741,sell,4545.24,-5.560000000000109,time,-5.56,market,,,,,,,,,,,,
80896706,sell,4544.49,-6.310000000000109,time,-6.31,market,,,,,,,,,,,,
80844136,sell,4522.0,-5.18,sl,-4.3999999999999995,market,,,,,,,,,,,,
80844063,sell,4521.0,-5.18,sl,-5.3999999999999995,market,,,,,,,,,,,,
80844036,sell,4520.0,-5.18,sl,-6.3999999999999995,market,,,,,,,,,,,,
80767140,sell,4518.85,-5.18,sl,-5.13,market,,,,,,,,,,,,
80767096,sell,4518.0,-5.18,sl,-5.9799999999999995,market,,,,,,,,,,,,
80766987,sell,4517.0,-5.18,sl,-6.9799999999999995,market,,,,,,,,,,,,
80783657,sell,4503.0,-4.560000000000109,time,-4.56,market,,,,,,,,,,,,
80783643,sell,4501.92,-5.18,sl,-5.64,market,,,,,,,,,,,,
80783633,sell,4501.0,-5.18,sl,-6.56,market,,,,,,,,,,,,
80736276,buy,4505.06,-5.18,sl,-4.37,market,,,,,,,,,,,,
80736188,buy,4506.1,-5.18,sl,-5.41,market,,,,,,,,,,,,
80736078,buy,4507.0,-5.18,sl,-6.31,market,,,,,,,,,,,,
80513036,sell,4578.7,-5.18,sl,-4.319999999999999,market,,,,,,,,,,,,
80513018,sell,4577.7,-5.18,sl,-5.319999999999999,market,,,,,,,,,,,,
80512984,sell,4576.52,-5.18,sl,-6.5,market,,,,,,,,,,,,
80513799,buy,4491.0,-5.18,sl,-4.47,market,,,,,,,,,,,,
80513663,buy,4496.0,-5.18,sl,-4.739999999999999,market,,,,,,,,,,,,
80513605,buy,4497.0,-5.18,sl,-5.739999999999999,market,,,,,,,,,,,,
80513742,buy,4493.0,-5.18,sl,-6.47,market,,,,,,,,,,,,
80513770,buy,4492.0,-5.18,sl,-5.47,market,,,,,,,,,,,,
80513584,buy,4498.0,-5.18,sl,-6.21,market,,,,,,,,,,,,
80468801,buy,4516.2,19.82,tp,-4.81,market,,,,,,,,,,,,
80468669,buy,4518.2,-6.810000000000109,time,-6.81,market,,,,,,,,,,,,
80468761,buy,4517.26,-5.870000000000509,time,-5.87,market,,,,,,,,,,,,
80448388,sell,4572.0,19.82,tp,14.82,market,,,,,,,,,,,,
80421906,buy,4548.31,-5.18,sl,-5.1,market,,,,,,,,,,,,
80421870,buy,4549.0,-5.18,sl,-5.79,market,,,,,,,,,,,,
80421844,buy,4550.03,-5.18,sl,-6.819999999999999,market,,,,,,,,,,,,
