ticket,direction,open_time,orig_limit_price,entry,filled,sl5_net,sl5_exit,sl7_net,sl7_exit,fill_time_m5,sl5_price,sl7_price,sl5_at_orig,tp20_price,delta_sl7_minus_sl5
81078164,sell,2026.05.22 07:21:42,4555.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
81078140,sell,2026.05.22 07:21:21,4554.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
81078106,sell,2026.05.22 07:20:31,4553.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
81056154,buy,2026.05.22 01:12:28,4514.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
81056145,buy,2026.05.22 01:12:05,4515.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
81056140,buy,2026.05.22 01:11:46,4516.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80992262,buy,2026.05.21 13:03:39,4494.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80992238,buy,2026.05.21 13:03:19,4495.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80992200,buy,2026.05.21 13:02:38,4496.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80974256,sell,2026.05.21 10:25:29,4543.0,4541.0,True,19.82,tp,19.82,tp,2026-05-21 09:15:00,4546.0,4548.0,4548.0,4521.0,0.0
80974202,sell,2026.05.21 10:25:14,4542.0,4540.0,True,19.82,tp,19.82,tp,2026-05-21 09:10:00,4545.0,4547.0,4547.0,4520.0,0.0
80974029,sell,2026.05.21 10:24:55,4541.0,4539.0,True,19.82,tp,19.82,tp,2026-05-21 09:10:00,4544.0,4546.0,4546.0,4519.0,0.0
80900806,buy,2026.05.20 18:34:39,4451.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
80900754,buy,2026.05.20 18:34:10,4450.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
80900676,buy,2026.05.20 18:33:17,4449.5,,False,0.0,no_fill,0.0,no_fill,,,,,,
80899815,sell,2026.05.20 18:27:08,4553.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80899722,sell,2026.05.20 18:26:38,4554.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
80899445,sell,2026.05.20 18:25:17,4555.0,,False,0.0,no_fill,0.0,no_fill,,,,,,
