ticket,source,direction,open_time,close_time,open_dt,orig_limit_price,entry,limit_offset,filled,fill_time_m5,exit_px,sl_price,tp_price,size,orig_net,sim_net,delta,exit_reason,hold_hours
81078164,limit,sell,2026.05.22 07:21:42,2026.05.22 10:19:17,2026-05-22 07:21:42,4555.0,4553.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,2.959722222222222
81078140,limit,sell,2026.05.22 07:21:21,2026.05.22 10:19:17,2026-05-22 07:21:21,4554.0,4552.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,2.9655555555555555
81078106,limit,sell,2026.05.22 07:20:31,2026.05.22 10:19:18,2026-05-22 07:20:31,4553.0,4551.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,2.979722222222222
81056154,limit,buy,2026.05.22 01:12:28,2026.05.22 07:03:00,2026-05-22 01:12:28,4514.0,4516.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,5.842222222222222
81056145,limit,buy,2026.05.22 01:12:05,2026.05.22 07:02:56,2026-05-22 01:12:05,4515.0,4517.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,5.8475
81056140,limit,buy,2026.05.22 01:11:46,2026.05.22 07:02:53,2026-05-22 01:11:46,4516.0,4518.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,5.851944444444444
80992262,limit,buy,2026.05.21 13:03:39,2026.05.21 16:07:42,2026-05-21 13:03:39,4494.0,4496.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,3.0675
80992238,limit,buy,2026.05.21 13:03:19,2026.05.21 16:07:47,2026-05-21 13:03:19,4495.0,4497.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,3.0744444444444445
80992200,limit,buy,2026.05.21 13:02:38,2026.05.21 16:07:50,2026-05-21 13:02:38,4496.0,4498.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,3.0866666666666664
80974256,limit,sell,2026.05.21 10:25:29,2026.05.21 19:03:46,2026-05-21 10:25:29,4543.0,4541.0,2.0,True,2026-05-21 09:15:00,4521.0,4546.0,4521.0,0.01,0.0,19.82,19.82,tp,8.638055555555555
80974202,limit,sell,2026.05.21 10:25:14,2026.05.21 19:03:44,2026-05-21 10:25:14,4542.0,4540.0,2.0,True,2026-05-21 09:10:00,4520.0,4545.0,4520.0,0.01,0.0,19.82,19.82,tp,8.641666666666667
80974029,limit,sell,2026.05.21 10:24:55,2026.05.21 19:03:43,2026-05-21 10:24:55,4541.0,4539.0,2.0,True,2026-05-21 09:10:00,4519.0,4544.0,4519.0,0.01,0.0,19.82,19.82,tp,8.646666666666667
80900806,limit,buy,2026.05.20 18:34:39,2026.05.21 01:09:58,2026-05-20 18:34:39,4451.5,4453.5,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,6.588611111111111
80900754,limit,buy,2026.05.20 18:34:10,2026.05.21 01:10:01,2026-05-20 18:34:10,4450.5,4452.5,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,6.5975
80900676,limit,buy,2026.05.20 18:33:17,2026.05.21 01:10:04,2026-05-20 18:33:17,4449.5,4451.5,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,6.6130555555555555
80899815,limit,sell,2026.05.20 18:27:08,2026.05.21 01:09:48,2026-05-20 18:27:08,4553.0,4551.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,6.711111111111111
80899722,limit,sell,2026.05.20 18:26:38,2026.05.21 01:09:51,2026-05-20 18:26:38,4554.0,4552.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,6.720277777777778
80899445,limit,sell,2026.05.20 18:25:17,2026.05.21 01:09:54,2026-05-20 18:25:17,4555.0,4553.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,6.743611111111111
80873280,limit,buy,2026.05.20 16:08:25,2026.05.20 17:16:05,2026-05-20 16:08:25,4465.0,4467.0,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,1.1277777777777778
80873249,limit,buy,2026.05.20 16:08:09,2026.05.20 17:16:03,2026-05-20 16:08:09,4466.0,4468.0,2.0,True,2026-05-20 14:10:00,4488.0,4463.0,4488.0,0.01,0.0,19.82,19.82,tp,1.1316666666666666
80873171,limit,buy,2026.05.20 16:07:31,2026.05.20 17:16:01,2026-05-20 16:07:31,4467.0,4469.0,2.0,True,2026-05-20 14:10:00,4489.0,4464.0,4489.0,0.01,0.0,19.82,19.82,tp,1.1416666666666666
80749349,limit,sell,2026.05.19 16:42:26,2026.05.19 17:17:55,2026-05-19 16:42:26,4517.5,4515.5,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,0.5913888888888889
80749246,limit,sell,2026.05.19 16:42:05,2026.05.19 17:17:51,2026-05-19 16:42:05,4516.5,4514.5,2.0,False,,,,,0.01,0.0,0.0,0.0,no_fill,0.5961111111111111
80749150,limit,sell,2026.05.19 16:41:46,2026.05.19 17:17:48,2026-05-19 16:41:46,4515.5,4513.5,2.0,True,2026-05-19 14:05:00,4493.5,4518.5,4493.5,0.01,0.0,19.82,19.82,tp,0.6005555555555555
