ticket,source,direction,open_time,close_time,open_dt,entry,exit_px,sl_price,tp_price,size,orig_net,sim_net,delta,exit_reason,orig_exit,hold_min
81107344,market,buy,2026.05.22 12:23:18,2026.05.22 13:41:32,2026-05-22 12:23:18,4518.76,4513.76,4513.76,4538.76,0.01,-5.58,-5.18,0.40000000000000036,sl,sl,78.23333333333333
81107335,market,buy,2026.05.22 12:23:12,2026.05.22 13:41:32,2026-05-22 12:23:12,4518.91,4513.91,4513.91,4538.91,0.01,-5.7299999999999995,-5.18,0.5499999999999998,sl,sl,78.33333333333333
81077078,market,buy,2026.05.22 06:54:13,2026.05.22 08:57:10,2026-05-22 06:54:13,4527.44,4522.44,4522.44,4547.44,0.01,-12.84,-5.18,7.66,sl,sl,122.95
81077069,market,buy,2026.05.22 06:54:10,2026.05.22 08:57:10,2026-05-22 06:54:10,4527.4,4522.4,4522.4,4547.4,0.01,-12.799999999999999,-5.18,7.619999999999999,sl,sl,123.0
80917655,market,buy,2026.05.22 02:36:17,2026.05.22 03:00:35,2026-05-22 02:36:17,4536.01,4531.01,4531.01,4556.01,0.01,-4.33,-5.18,-0.8499999999999996,sl,sl,24.3
80917620,market,buy,2026.05.22 02:31:33,2026.05.22 03:00:35,2026-05-22 02:31:33,4537.0,4532.0,4532.0,4557.0,0.01,-5.319999999999999,-5.18,0.13999999999999968,sl,sl,29.033333333333335
80917563,market,buy,2026.05.22 02:31:24,2026.05.22 03:00:35,2026-05-22 02:31:24,4538.0,4533.0,4533.0,4558.0,0.01,-6.319999999999999,-5.18,1.1399999999999997,sl,sl,29.183333333333334
81038366,market,sell,2026.05.21 20:11:00,2026.05.21 20:15:57,2026-05-21 20:11:00,4529.0,4534.0,4534.0,4509.0,0.01,-5.52,-5.18,0.33999999999999986,sl,sl,4.95
81038421,market,sell,2026.05.21 20:11:00,2026.05.21 20:15:57,2026-05-21 20:11:00,4529.8,4534.8,4534.8,4509.8,0.01,-4.72,-5.18,-0.45999999999999996,sl,sl,4.95
81037501,market,sell,2026.05.21 20:10:56,2026.05.21 20:15:57,2026-05-21 20:10:56,4528.0,4533.0,4533.0,4508.0,0.01,-6.52,-5.18,1.3399999999999999,sl,sl,5.016666666666667
80896756,market,sell,2026.05.20 18:15:50,2026.05.20 18:16:03,2026-05-20 18:15:50,4546.5,4550.62,4551.5,4526.5,0.01,-4.3,-4.299999999999891,1.092459456231154e-13,time,sl,0.21666666666666667
80896741,market,sell,2026.05.20 18:15:47,2026.05.20 18:16:03,2026-05-20 18:15:47,4545.24,4550.62,4550.24,4525.24,0.01,-5.56,-5.560000000000109,-1.092459456231154e-13,time,sl,0.26666666666666666
80896706,market,sell,2026.05.20 18:15:46,2026.05.20 18:16:03,2026-05-20 18:15:46,4544.49,4550.62,4549.49,4524.49,0.01,-6.31,-6.310000000000109,-1.092459456231154e-13,time,sl,0.2833333333333333
80844136,market,sell,2026.05.20 17:31:13,2026.05.20 17:32:12,2026-05-20 17:31:13,4522.0,4527.0,4527.0,4502.0,0.01,-4.3999999999999995,-5.18,-0.7800000000000002,sl,sl,0.9833333333333333
80844063,market,sell,2026.05.20 17:30:57,2026.05.20 17:32:12,2026-05-20 17:30:57,4521.0,4526.0,4526.0,4501.0,0.01,-5.3999999999999995,-5.18,0.21999999999999975,sl,sl,1.25
80844036,market,sell,2026.05.20 17:30:55,2026.05.20 17:32:12,2026-05-20 17:30:55,4520.0,4525.0,4525.0,4500.0,0.01,-6.3999999999999995,-5.18,1.2199999999999998,sl,sl,1.2833333333333334
80767140,market,sell,2026.05.20 17:30:46,2026.05.20 17:31:48,2026-05-20 17:30:46,4518.85,4523.85,4523.85,4498.85,0.01,-5.13,-5.18,-0.04999999999999982,sl,sl,1.0333333333333334
80767096,market,sell,2026.05.20 17:30:46,2026.05.20 17:31:48,2026-05-20 17:30:46,4518.0,4523.0,4523.0,4498.0,0.01,-5.9799999999999995,-5.18,0.7999999999999998,sl,sl,1.0333333333333334
80766987,market,sell,2026.05.20 17:30:45,2026.05.20 17:31:48,2026-05-20 17:30:45,4517.0,4522.0,4522.0,4497.0,0.01,-6.9799999999999995,-5.18,1.7999999999999998,sl,sl,1.05
80783657,market,sell,2026.05.20 03:30:02,2026.05.20 03:30:58,2026-05-20 03:30:02,4503.0,4507.38,4508.0,4483.0,0.01,-4.56,-4.560000000000109,-1.092459456231154e-13,time,sl,0.9333333333333333
80783643,market,sell,2026.05.20 03:29:59,2026.05.20 03:30:58,2026-05-20 03:29:59,4501.92,4506.92,4506.92,4481.92,0.01,-5.64,-5.18,0.45999999999999996,sl,sl,0.9833333333333333
80783633,market,sell,2026.05.20 03:29:56,2026.05.20 03:30:58,2026-05-20 03:29:56,4501.0,4506.0,4506.0,4481.0,0.01,-6.56,-5.18,1.38,sl,sl,1.0333333333333334
80736276,market,buy,2026.05.19 16:24:42,2026.05.19 16:26:17,2026-05-19 16:24:42,4505.06,4500.06,4500.06,4525.06,0.01,-4.37,-5.18,-0.8099999999999996,sl,sl,1.5833333333333333
80736188,market,buy,2026.05.19 16:23:42,2026.05.19 16:26:17,2026-05-19 16:23:42,4506.1,4501.1,4501.1,4526.1,0.01,-5.41,-5.18,0.23000000000000043,sl,sl,2.5833333333333335
