session_date,bars,session_range_usd,trades,session_pnl
2023-12-02,48,30.69,0,0.0
2023-12-05,48,10.85,1,-0.6
2023-12-06,48,8.46,1,0.34
2023-12-07,48,7.45,1,0.96
2023-12-08,48,11.79,1,-1.89
2023-12-09,48,15.15,1,-3.5
2023-12-12,48,8.49,1,-2.28
2023-12-13,48,6.52,1,-2.3
2023-12-14,48,37.84,0,0.0
2023-12-15,48,12.52,1,-1.0
2023-12-16,48,20.85,1,-3.5
2023-12-19,48,12.56,0,0.0
2023-12-20,48,10.35,0,0.0
2023-12-21,48,7.07,0,0.0
2023-12-22,48,7.68,2,2.98
2023-12-23,48,11.1,1,-1.22
2023-12-27,48,5.6,0,0.0
2023-12-28,48,8.57,1,-2.61
2023-12-29,48,11.43,1,-1.61
2023-12-30,48,7.05,2,6.51
2024-01-03,48,8.5,1,-0.07
2024-01-04,48,11.76,1,6.53
2024-01-05,48,5.86,0,0.0
2024-01-06,48,15.83,1,4.25
2024-01-09,48,10.63,1,2.4
2024-01-10,48,5.99,0,0.0
2024-01-11,48,8.16,1,-2.18
2024-01-12,48,16.38,2,4.84
2024-01-13,48,14.12,1,-3.04
2024-01-16,39,3.23,0,0.0
2024-01-17,48,17.08,2,-0.1
2024-01-18,48,10.23,0,0.0
2024-01-19,48,8.08,1,-1.8
2024-01-20,48,6.34,1,5.45
2024-01-23,48,5.57,1,-1.18
2024-01-24,48,8.12,0,0.0
2024-01-25,48,8.64,0,0.0
2024-01-26,48,9.18,0,0.0
2024-01-27,48,3.6,1,0.48
2024-01-30,48,7.14,1,4.73
2024-01-31,48,5.64,0,0.0
2024-02-01,48,14.17,1,-1.0
2024-02-02,48,14.2,0,0.0
2024-02-03,48,5.69,1,-0.91
2024-02-06,48,9.73,1,-2.17
2024-02-07,48,6.81,0,0.0
2024-02-08,48,6.94,1,1.04
2024-02-09,48,7.66,0,0.0
2024-02-10,48,6.1,0,0.0
2024-02-13,48,9.7,1,-1.62
2024-02-14,48,6.59,0,0.0
2024-02-15,48,8.66,1,-1.86
2024-02-16,48,8.04,2,3.45
2024-02-17,48,7.99,1,-1.77
2024-02-20,39,5.27,0,0.0
2024-02-21,48,4.15,0,0.0
2024-02-22,48,6.47,1,-1.62
2024-02-23,48,5.1,1,3.4
2024-02-24,48,11.26,0,0.0
2024-02-27,48,3.66,0,0.0
2024-02-28,48,6.68,1,-1.6
2024-02-29,48,4.69,0,0.0
