session_date,direction,entry,exit_px,sl,tp,range_top,range_bottom,range_width,open_ts,close_ts,exit_reason,gross_usd
2023-12-05,sell,2030.28,2030.88,2033.78,2025.92,2030.78,2021.05,9.73,2023-12-04 19:45:00,2023-12-04 19:55:00,session_end,-0.6
2023-12-06,sell,2020.06,2019.72,2023.56,2016.54,2020.56,2012.53,8.03,2023-12-05 19:50:00,2023-12-05 19:55:00,session_end,0.34
2023-12-07,sell,2030.83,2029.88,2034.33,2027.61,2031.33,2023.88,7.45,2023-12-06 18:50:00,2023-12-06 19:55:00,session_end,0.96
2023-12-08,buy,2025.6,2023.72,2022.1,2032.34,2039.58,2025.1,14.48,2023-12-07 16:50:00,2023-12-07 17:00:00,breakout,-1.89
2023-12-09,buy,2003.0,1999.5,1999.5,2014.25,2026.01,2002.5,23.51,2023-12-08 16:45:00,2023-12-08 17:00:00,sl,-3.5
2023-12-12,buy,1980.5,1978.22,1977.0,1986.73,1993.45,1980.0,13.45,2023-12-11 17:10:00,2023-12-11 17:15:00,breakout,-2.28
2023-12-13,buy,1980.51,1978.21,1977.01,1988.34,1996.66,1980.01,16.65,2023-12-12 16:30:00,2023-12-12 17:05:00,breakout,-2.3
2023-12-15,buy,2036.93,2035.93,2033.43,2042.17,2047.91,2036.43,11.48,2023-12-14 17:30:00,2023-12-14 17:40:00,breakout,-1.0
2023-12-16,buy,2032.39,2028.89,2028.89,2035.21,2038.52,2031.89,6.63,2023-12-15 17:50:00,2023-12-15 18:15:00,sl,-3.5
2023-12-22,buy,2038.82,2041.51,2035.32,2041.51,2044.71,2038.32,6.39,2023-12-21 18:15:00,2023-12-21 19:15:00,tp,2.7
2023-12-22,sell,2044.21,2043.93,2047.71,2041.06,2044.71,2037.41,7.3,2023-12-21 19:30:00,2023-12-21 19:55:00,session_end,0.28
2023-12-23,buy,2058.15,2056.93,2054.65,2064.12,2070.59,2057.65,12.94,2023-12-22 16:00:00,2023-12-22 16:40:00,breakout,-1.22
2023-12-28,sell,2081.38,2083.99,2084.88,2073.97,2081.88,2066.07,15.82,2023-12-27 16:35:00,2023-12-27 18:00:00,breakout,-2.61
2023-12-29,buy,2072.57,2070.96,2069.07,2076.6,2081.13,2072.07,9.06,2023-12-28 17:05:00,2023-12-28 19:10:00,breakout,-1.61
2023-12-30,sell,2065.57,2062.08,2069.07,2062.08,2066.07,2058.09,7.97,2023-12-29 16:10:00,2023-12-29 18:00:00,tp,3.49
