ticket,orig_sl_dist,orig_net,sl3_origtp_net,sl3_origtp_exit,sl5_origtp_net,sl5_origtp_exit,sl3_tp20_net,sl3_tp20_exit,sl5_tp20_net,sl5_tp20_exit,orig_sl_tp20_net,orig_sl_tp20_exit,orig_sl_w2_tp20_net,orig_sl_w2_exit
81107344,4.76,-5.58,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-4.940000000000218,sl,-6.940000000000218,sl
81107335,4.91,-5.7299999999999995,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-5.089999999999854,sl,-7.089999999999854,sl
81077078,12.44,-12.84,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-12.6199999999996,sl,-14.6199999999996,sl
81077069,12.4,-12.799999999999999,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-12.579999999999636,sl,-14.579999999999636,sl
80917655,4.01,-4.33,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-4.190000000000218,sl,-4.330000000000545,time
80917620,5.0,-5.319999999999999,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-5.18,sl,-5.320000000000327,time
80917563,6.0,-6.319999999999999,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-6.18,sl,-6.320000000000327,time
81038366,5.0,-5.52,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-5.18,sl,-7.18,sl
81038421,4.2,-4.72,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-4.379999999999818,sl,-6.379999999999818,sl
81037501,6.0,-6.52,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-6.18,sl,-8.18,sl
80896756,4.0,-4.3,-4.299999999999891,time,-4.299999999999891,time,-4.299999999999891,time,-4.299999999999891,time,-4.299999999999891,time,-4.299999999999891,time
80896741,5.26,-5.56,-5.560000000000109,time,-5.560000000000109,time,-5.560000000000109,time,-5.560000000000109,time,-5.560000000000109,time,-5.560000000000109,time
80896706,6.01,-6.31,-6.310000000000109,time,-6.310000000000109,time,-6.310000000000109,time,-6.310000000000109,time,-6.310000000000109,time,-6.310000000000109,time
80844136,4.0,-4.3999999999999995,-3.18,sl,-5.18,sl,-3.18,sl,-5.18,sl,-4.18,sl,-4.400000000000254,time
